[IDTYPE	LOCATOR	NAME	SUBSYSTEM	CONFIDENCE	OFFICIALSAVEIDTYPE	STORAGETYPE	HASHCATEGORY	INTERNALPREFIX	NOTE	RECOMMENDEDTEST]
0x0F40	FF400F0000	Ability Flags	Abilities	Confirmed	ABILITYDATA_ABILITY_FLAGS	UInt	NA	NA	Official SaveIDType ABILITYDATA_ABILITY_FLAGS. Categories: Special numeric value (388); Examples: Zero / null	NA
0x0BBB	FFBB0B0000	Party Set Character IDs	Party Sets	Strong	NA	UInt	NA	NA	739 UInt values; first 80 are 20 party sets × 4 characters. First 80 finds = Character IDs for PartySets, 20 x 4 Categories: Weapons (707), Characters (29); Internal prefixes: PL_* (23); Examples: Rackam | Zeta | Katalina	NA
0x0BBC	FFBC0B0000	Party Set Configuration Values	Party Sets	Strong	NA	Int	NA	NA	739 Int values paired with Party Set Character IDs. Has to do with Party Sets	NA
0x0DAD	FFAD0D0000	Fate Episode IDs	Fate Episodes	Confirmed	NA	UInt	Fate Episodes	FATE_	820 UInt values resolving to FATE_* and REMI_* IDs. Categories: Weapons (496); Internal prefixes: FATE_* (319), REMI_* (5); Examples: --Removed (Used for Empty Slots)	NA
0x0DAE	FFAE0D0000	Fate Episode Progress / State	Fate Episodes	Strong	NA	UInt	NA	NA	820 UInt values paired with Fate Episode IDs.	NA
0x1F41	FF411F0000	Acquired Sigil IDs	Sigils	Confirmed	ACQUIREDGEMS_GEM_ID	UInt	Sigils	GEEN_	Official SaveIDType ACQUIREDGEMS_GEM_ID. Seems to have Sigil IDs ? (Can Pull Sigil List from here) Categories: Sigils (808), Weapons (66); Internal prefixes: GEEN_* (819); Examples: Glass Cannon IV+ | Lucky Charge II | War Elemental+	NA
0x1F42	FF421F0000	Acquired Sigil Flags	Sigils	Confirmed	ACQUIREDGEMS_ACQUIRED_FLAG	UInt	NA	NA	Official SaveIDType ACQUIREDGEMS_ACQUIRED_FLAG. Categories: Special numeric value (468); Examples: Zero / null	NA
0x07D2	FFD2070000	Curio Appraiser IDs	Curios	Confirmed	ITEMJUNK_CURIO_IDS	UInt	NA	NA	Official SaveIDType ITEMJUNK_CURIO_IDS. Appraiser Curio IDs <Sets Number u see at Aprazers Shop> Categories: Weapons (951), Treasure (48); Internal prefixes: ITEM_* (4); Examples: Curio | Curio | Curio	NA
0x07D3	FFD3070000	Curio Slot Counter	Curios	Confirmed	ITEMJUNK_CURIO_ITEM_SEEDS	UInt	NA	NA	Official SaveIDType ITEMJUNK_CURIO_ITEM_SEEDS. One UInt per Curio slot. Curios-GameData confirms 86 occupied slots use consecutive values 670-755 while 913 empty slots use 0.	NA
0x057C	FF7C050000	Character and Party-Set Ability IDs	Abilities	Strong	NA	UInt	NA	NA	780 records × 4 elements; resolves to AB_* abilities and includes party-set skills. Character Skill - Final one is Gran (Each has 4) This section also holds the Skills for the Party Sets (First 80 finds) Categories: Weapons (2848); Internal prefixes: AB_* (151); Examples: --Removed (Used for Empty Slots)	NA
0x05DF	FFDF050000	Character Data Field 1503	Characters	Unknown	NA	Int	NA	NA	82 Int elements aligned with 41 characters. ??	NA
0x057A	FF7A050000	Character / Party Set Configuration IDs	Party Sets	Tentative	NA	UInt	NA	NA	780 UInt records; section repeats every four and pairs with skill data. Character Set Info ? Might be Weapons (Sections rep every 4) Categories: Special numeric value (63); Examples: Zero / null	NA
0x08FE	FE08000000	Party Set Names	Party Sets	Confirmed	NA	Byte	NA	NA	Byte section identified as Party Sets Name Section. Party Sets Name Section	NA
0x16A9	FFA9160000	Lyria's Journal Trophy Flags	Journal	Confirmed	NA	Bool	NA	NA	1,700 Bool values; section note identifies trophies. Lyria's Journal - Trophies	NA
0x05B0	FFB0050000	Journal / Collection Field 1456	Journal	Tentative	NA	UInt	NA	NA	1,000-entry array near trophy/journal data; exact role not yet confirmed. Categories: Special numeric value (866); Examples: Zero / null	Unlock one journal/collection item and compare.
0x05B1	FFB1050000	Journal / Collection Field 1457	Journal	Tentative	NA	UInt	NA	NA	1,000-entry array near trophy/journal data; exact role not yet confirmed. Categories: Weapons (866); Examples: --Removed (Used for Empty Slots)	Unlock one journal/collection item and compare.
0x05B4	FFB4050000	Journal / Collection Field 1460	Journal	Tentative	NA	UInt	NA	NA	1,000-entry array near trophy/journal data; exact role not yet confirmed. Categories: Special numeric value (866); Examples: Zero / null	Unlock one journal/collection item and compare.
0x25E9	FFE9250000	Journal / Collection Numeric Field 9705	Journal	Tentative	NA	Int	NA	NA	1,000 Int entries aligned with nearby journal arrays.	NA
0x12C5	FFC5120000	Character Reference Attribute 4805	Characters	Tentative	NA	UByte	NA	NA	604 UByte values paired with Character Reference Matrix 4801.	NA
0x12C6	FFC6120000	Character Reference Flags 4806	Characters	Tentative	NA	Bool	NA	NA	604 Bool values paired with Character Reference Matrix 4801.	NA
0x2581	FF81250000	Unknown 300-Slot ID List 9601	Global State	Unknown	NA	UInt	NA	NA	300 UInt records; 236 unresolved values. Categories: Weapons (64); Examples: --Removed (Used for Empty Slots)	NA
0x2582	FF82250000	Unknown 300-Slot State List 9602	Global State	Tentative	NA	UInt	NA	NA	300 UInt values paired with 9601. Categories: Special numeric value (252); Examples: Zero / null	NA
0x05AC	FFAC050000	Unknown 300-Slot ID List 1452	Global State	Unknown	NA	UInt	NA	NA	300 UInt records; 189 unresolved values. Categories: Weapons (111); Examples: --Removed (Used for Empty Slots)	NA
0x05AD	FFAD050000	Unknown 300-Slot State List 1453	Global State	Tentative	NA	UInt	NA	NA	300 UInt values paired with 1452. Categories: Special numeric value (190); Examples: Zero / null	NA
0x0B01	FF010B0000	Weapon Data Field 2817	Weapons	Unknown	NA	Int	NA	NA	256 Int records aligned with weapon inventory.	NA
0x119D	FF9D110000	Online Player Numeric Field 4509	Online Players	Tentative	NA	Int	NA	NA	151 Int records aligned with online-player arrays.	NA
0x0A37	FF370A0000	Unknown 128-Slot ID List 2615	Global State	Unknown	NA	UInt	NA	NA	128 records in a sequential field family. Categories: Weapons (128); Examples: --Removed (Used for Empty Slots)	Trigger late-game/DLC feature changes and compare.
0x0A38	FF380A0000	Unknown 128-Slot State Field 2616	Global State	Unknown	NA	UInt	NA	NA	128 records in a sequential field family. Categories: Special numeric value (128); Examples: Zero / null	Trigger late-game/DLC feature changes and compare.
0x0A39	FF390A0000	Unknown 128-Slot State Field 2617	Global State	Unknown	NA	UInt	NA	NA	128 records in a sequential field family. Categories: Special numeric value (128); Examples: Zero / null	Trigger late-game/DLC feature changes and compare.
0x0A3A	FF3A0A0000	Unknown 128-Slot State Field 2618	Global State	Unknown	NA	UInt	NA	NA	128 records in a sequential field family. Categories: Special numeric value (128); Examples: Zero / null	Trigger late-game/DLC feature changes and compare.
0x1E7F	FF7F1E0000	Unknown 128-Slot State Field 7807	Global State	Unknown	NA	UInt	NA	NA	128 UInt records; 20 unresolved nonzero values. Categories: Special numeric value (108); Examples: Zero / null	NA
0x1E80	FF801E0000	Unknown 128-Slot State Field 7808	Global State	Unknown	NA	UInt	NA	NA	128 UInt records paired with 7807. Categories: Special numeric value (128); Examples: Zero / null	NA
0x0A3B	FF3B0A0000	Unknown 64-Slot ID List 2619	Global State	Unknown	NA	UInt	NA	NA	64 UInt records. Categories: Weapons (64); Examples: --Removed (Used for Empty Slots)	NA
0x0A3C	FF3C0A0000	Unknown 64-Slot Flags 2620	Global State	Tentative	NA	Bool	NA	NA	64 Bool records paired with 2619.	NA
0x052B	FF2B050000	Character Data Field 1323	Characters	Unknown	NA	Int	NA	NA	41 Int records aligned with character roster.	NA
0x052C	FF2C050000	Character Data Field 1324	Characters	Unknown	NA	Int	NA	NA	41 Int records aligned with character roster.	NA
0x052D	FF2D050000	Character Data Field 1325	Characters	Unknown	NA	Int	NA	NA	41 Int records aligned with character roster.	NA
0x23A6	FFA6230000	Unknown 20-Slot Flags 9126	Global State	Unknown	NA	Bool	NA	NA	20-record late-added field family.	Compare DLC/late-game feature changes.
0x23A7	FFA7230000	Unknown 20-Slot Values 9127	Global State	Unknown	NA	Int	NA	NA	20-record late-added field family.	Compare DLC/late-game feature changes.
0x23A8	FFA8230000	Unknown 20-Slot Values 9128	Global State	Unknown	NA	Int	NA	NA	20-record late-added field family.	Compare DLC/late-game feature changes.
0x23A9	FFA9230000	Unknown 20-Slot Values 9129	Global State	Unknown	NA	Int	NA	NA	20-record late-added field family.	Compare DLC/late-game feature changes.
0x0C25	FF250C0000	Profile / Loadout Value Field 3109	Profiles	Unknown	NA	Int	NA	NA	15-record field aligned with profile/loadout group 3101-3115.	NA
0x0C26	FF260C0000	Profile / Loadout Value Field 3110	Profiles	Unknown	NA	Int	NA	NA	15-record field aligned with profile/loadout group 3101-3115.	NA
0x0C27	FF270C0000	Profile / Loadout Float Field 3111	Profiles	Unknown	NA	Float	NA	NA	15-record field aligned with profile/loadout group 3101-3115.	NA
0x0C28	FF280C0000	Profile / Loadout Value Field 3112	Profiles	Unknown	NA	Int	NA	NA	15-record field aligned with profile/loadout group 3101-3115.	NA
0x0C2A	FF2A0C0000	Profile / Loadout ID Field 3114	Profiles	Tentative	NA	UInt	NA	NA	15-record field aligned with profile/loadout group 3101-3115. Categories: Weapons (15); Internal prefixes: WEP_* (1); Examples: --Removed (Used for Empty Slots)	NA
0x0C2B	FF2B0C0000	Profile / Loadout Value Field 3115	Profiles	Unknown	NA	Int	NA	NA	15-record field aligned with profile/loadout group 3101-3115.	NA
0x2315	FF15230000	Unknown Four-Slot ID List 8981	Global State	Unknown	NA	UInt	NA	NA	Four UInt records, all currently empty/removed. Categories: Weapons (4); Examples: --Removed (Used for Empty Slots)	NA
0x0A46	FF460A0000	Unknown Four-by-Four Flags 2630	Global State	Unknown	NA	Bool	NA	NA	Four records × four Bool values.	Toggle candidate four-slot feature and compare.
